X,Y,speed,dir,AM_dir,QGIS_dir
720558.994853401,5191122.90735339,11.1,357,87,177
720960.054853401,5191122.90735339,11.2,356,86,176
721361.114853401,5191122.90735339,11.3,356,86,176
721762.174853401,5191122.90735339,11.3,356,86,176
722163.234853401,5191122.90735339,11.3,356,86,176
722564.294853401,5191122.90735339,11.4,359,89,179
722965.354853401,5191122.90735339,11.7,1,91,181
723366.414853401,5191122.90735339,11.8,360,90,180
723767.474853401,5191122.90735339,11.7,360,90,180
724168.534853401,5191122.90735339,11.7,0,90,180
724569.594853401,5191122.90735339,11.8,1,91,181
724970.654853401,5191122.90735339,11.7,1,91,181
725371.714853401,5191122.90735339,11.6,1,91,181
725772.774853401,5191122.90735339,11.5,2,92,182
726173.834853401,5191122.90735339,11.3,2,92,182
726574.894853401,5191122.90735339,11.2,2,92,182
726975.954853401,5191122.90735339,10.9,3,93,183
727377.014853401,5191122.90735339,10.6,4,94,184
727778.074853401,5191122.90735339,10.6,4,94,184
728179.134853401,5191122.90735339,10.8,3,93,183
728580.194853401,5191122.90735339,11.0,1,91,181
728981.254853401,5191122.90735339,10.8,359,89,179
729382.314853401,5191122.90735339,10.4,355,85,175
729783.374853401,5191122.90735339,10.3,350,80,170
730184.434853401,5191122.90735339,10.4,348,78,168
730585.494853401,5191122.90735339,10.0,350,80,170
730986.554853401,5191122.90735339,9.8,353,83,173
731387.614853401,5191122.90735339,10.0,356,86,176
731788.674853401,5191122.90735339,10.6,1,91,181
732189.734853401,5191122.90735339,11.4,1,91,181
732590.794853401,5191122.90735339,11.6,358,88,178
732991.854853401,5191122.90735339,11.1,355,85,175
733392.914853401,5191122.90735339,10.1,356,86,176
733793.974853401,5191122.90735339,9.4,2,92,182
734195.034853401,5191122.90735339,9.2,8,98,188
734596.094853401,5191122.90735339,9.5,12,102,192
734997.154853401,5191122.90735339,9.5,12,102,192
735398.214853401,5191122.90735339,10.2,14,104,194
735799.274853401,5191122.90735339,10.9,11,101,191
736200.334853401,5191122.90735339,11.4,3,93,183
736601.394853401,5191122.90735339,11.8,353,83,173
714944.154853401,5191523.96735339,13.4,24,114,204
715345.214853401,5191523.96735339,12.9,17,107,197
